state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
36.0,82000,70,5740000,976000,0.89,5109000,2006
17.0,66000,60,3960000,1505000,1.55,6138000,2009
29.0,14000,61,854000,376000,1.77,1512000,2007
30.0,3000,47,141000,69000,1.84,259000,2003
27.0,6000,64,384000,46000,2.04,783000,2003
10.0,9000,63,567000,374000,2.49,1412000,2007
3.0,480000,67,32160000,6432000,1.39,44702000,2003
27.0,10000,35,350000,95000,1.45,508000,2000
1.0,40000,57,2280000,388000,0.87,1984000,2004
26.0,15000,52,780000,476000,0.77,601000,1999
6.0,65000,71,4615000,369000,1.52,7015000,2008
27.0,9000,37,333000,50000,3.62,1205000,2006
12.0,15000,68,1020000,520000,0.91,928000,2000
40.0,71000,37,2627000,1077000,1.57,4124000,2010
17.0,72000,55,3960000,2099000,1.15,4554000,2006
20.0,16000,80,1280000,346000,0.67,858000,2005
39.0,7000,89,623000,274000,1.2,748000,2002
0.0,16000,78,1248000,187000,0.59,736000,2000
3.0,440000,70,30800000,11396000,0.59,18172000,2000
1.0,22000,64,1408000,239000,1.62,2281000,2011
18.0,145000,82,11890000,3210000,0.61,7253000,1999
14.0,35000,97,3395000,611000,0.72,2444000,2005
12.0,7000,44,308000,117000,2.15,662000,2011
22.0,16000,42,672000,74000,1.41,948000,2002
36.0,140000,67,9380000,1126000,1.4,13132000,2003
18.0,120000,83,9960000,1892000,1.44,14342000,2003
39.0,4000,43,172000,43000,2.31,397000,2011
37.0,22000,59,1298000,208000,1.3,1687000,2002
6.0,60000,58,3480000,522000,1.19,4141000,2007
8.0,27000,49,1323000,463000,1.92,2540000,2010
34.0,224000,104,23296000,13046000,0.6,13978000,1999
1.0,32000,76,2432000,730000,0.89,2164000,2006
13.0,4000,39,156000,27000,2.44,381000,2008
8.0,37000,61,2257000,1196000,2.17,4898000,2012
42.0,6000,43,258000,49000,2.16,557000,2008
42.0,9000,55,495000,183000,1.41,698000,2004
29.0,18000,62,1116000,346000,2.28,2544000,2010
26.0,6000,48,288000,95000,1.48,426000,2008
23.0,510000,91,46410000,12995000,1.5,69615000,2010
26.0,15000,64,960000,739000,0.72,691000,2000
37.0,26000,50,1300000,299000,0.98,1274000,2006
37.0,26000,38,988000,198000,1.46,1442000,2009
17.0,65000,67,4355000,2439000,1.16,5052000,2004
27.0,9000,45,405000,271000,1.54,624000,1999
